DUNGEON #,DUNGEON NAME,Difficulty,CHARACTER,Date,Duration,DEATHS,Kills,Result,Run Type,Instance ID,Dungeon Report Link,PRE_FLAWLESS
,Prophecy,Normal,Warlock,"Jan 1, 2021",1:05,0,0,DNF,—,7709849963,https://dungeon.report/pgcr/7709849963,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 8, 2020",1:36:24,0,371,Solo Flawless,Unknown,7126499708,https://dungeon.report/pgcr/7126499708,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 8, 2020",59:30:00,1,167,DNF,—,7123380506,https://dungeon.report/pgcr/7123380506,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 8, 2020",15:30,1,35,DNF,—,7123142769,https://dungeon.report/pgcr/7123142769,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",24:00:00,1,70,DNF,—,7121596968,https://dungeon.report/pgcr/7121596968,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",55:00:00,1,184,DNF,—,7121531340,https://dungeon.report/pgcr/7121531340,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",15:00,1,57,DNF,—,7121371250,https://dungeon.report/pgcr/7121371250,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",1:33,0,0,DNF,—,7121300425,https://dungeon.report/pgcr/7121300425,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",31:16:00,1,85,DNF,—,7121297095,https://dungeon.report/pgcr/7121297095,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",53:00:00,3,267,DNF,—,7121181061,https://dungeon.report/pgcr/7121181061,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",37:30:00,1,121,DNF,—,7120711556,https://dungeon.report/pgcr/7120711556,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",5:40,1,1,DNF,—,7120570209,https://dungeon.report/pgcr/7120570209,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",3:30,1,1,DNF,—,7120549388,https://dungeon.report/pgcr/7120549388,Pre-Flawless
,Pit of Heresy,Normal,Titan,"Nov 7, 2020",26:31:00,6,109,DNF,—,7120508201,https://dungeon.report/pgcr/7120508201,Pre-Flawless
,Pit of Heresy,Normal,Warlock,"Nov 6, 2020",2:19:00,17,841,DNF,—,7116492104,https://dungeon.report/pgcr/7116492104,Pre-Flawless
,Prophecy,Normal,Warlock,"Nov 1, 2020",11:01,2,50,DNF,—,7096989507,https://dungeon.report/pgcr/7096989507,Pre-Flawless
,Pit of Heresy,Normal,Warlock,"Nov 1, 2020",20:16,1,31,DNF,—,7096147774,https://dungeon.report/pgcr/7096147774,Pre-Flawless
,Pit of Heresy,Normal,Warlock,"Nov 1, 2020",9:30,1,19,DNF,—,7096082818,https://dungeon.report/pgcr/7096082818,Pre-Flawless
,Pit of Heresy,Normal,Warlock,"Nov 1, 2020",7:01,1,1,DNF,—,7096054058,https://dungeon.report/pgcr/7096054058,Pre-Flawless
,Shattered Throne,Normal,Warlock,"Oct 26, 2020",45:20:00,14,215,Solo,Unknown,7072990713,https://dungeon.report/pgcr/7072990713,Pre-Flawless
,Shattered Throne,Normal,Warlock,"Oct 25, 2020",33:03:00,11,96,DNF,—,7069527818,https://dungeon.report/pgcr/7069527818,Pre-Flawless
